Operational Hours,Task Complexity,Error Rate,Temperature Readings,Vibration Intensity,Power Consumption,Software Version,Maintenance Requirement
593.9322,4,0.0653,99.8395,0.2044,10.253,7,1
743.6704,2,0.0726,99.0311,1.2891,9.0198,6,1
642.487,4,0.0537,68.2658,3.7012,5.9283,9,1
444.214,3,0.011,30.2417,3.1416,17.3196,6,0
481.2893,1,0.0405,66.6554,3.8489,10.695,4,0
681.3047,1,0.0405,20.1652,3.8446,13.5733,8,0
493.8285,4,0.0321,35.9129,4.2828,19.7533,3,1
902.5957,2,0.003,96.4899,3.6016,5.0239,8,1
967.2965,2,0.0737,46.4352,4.8951,7.1818,3,1
445.0974,2,0.011,71.0712,4.4941,16.6867,6,1
812.5525,1,0.0606,42.4688,2.9336,17.0769,1,1
576.0054,3,0.0703,95.8258,2.9408,16.5387,3,1
611.2401,3,0.0635,78.2847,0.1713,13.055,9,0
933.037,3,0.0959,46.3721,4.9926,19.6829,2,1
163.9325,1,0.0103,83.3409,0.6579,10.9428,9,0
178.4164,3,0.0867,28.6532,3.7017,14.0292,3,1
118.1966,4,0.0029,51.3855,4.1051,5.9505,9,1
849.3579,4,0.0535,37.6975,1.8653,11.1479,7,1
800.3411,1,0.0404,74.6981,0.9843,15.8375,9,1
883.0109,2,0.0524,28.1957,0.4938,8.5811,4,1
980.7565,3,0.0365,51.7621,3.743,19.1574,7,1
819.2427,3,0.0191,42.132,2.2633,15.3018,5,1
515.3314,4,0.0019,60.5074,3.5686,9.3136,1,1
802.4763,1,0.0518,47.9918,4.577,16.535,7,1
206.447,2,0.0843,76.5128,0.7329,6.2475,7,1
675.9289,3,0.0373,21.9662,4.5959,19.6216,4,1
229.018,1,0.0223,70.719,2.0581,5.7393,5,0
950.202,1,0.0081,38.4457,1.5263,19.0018,9,1
569.6635,3,0.0085,41.4967,4.7153,8.7928,7,1
473.1957,2,0.0221,84.0204,4.9533,16.3674,1,1
338.1001,3,0.01,96.4455,0.9945,5.0011,1,1
796.8103,1,0.0265,45.324,3.2842,8.8136,4,1
510.5353,4,0.0066,86.1444,0.5325,16.2365,6,1
611.5906,4,0.0066,28.3193,3.2546,12.985,8,1
116.9108,1,0.0856,70.7185,4.1366,6.7243,1,1
655.8719,1,0.0162,80.0826,3.4225,10.9044,9,0
650.8862,2,0.056,32.4782,2.0867,10.6332,1,1
655.2406,1,0.0773,54.0802,1.9153,13.5224,2,1
949.3733,2,0.0456,91.4166,1.9656,15.0197,5,1
713.6383,1,0.0153,28.2863,2.9486,17.6125,1,1
423.5571,2,0.02,21.4477,4.4078,12.4585,3,1
493.3288,3,0.0433,67.2468,4.6453,10.8803,5,1
727.8681,4,0.0528,54.8425,0.2676,7.1596,9,1
154.2029,2,0.0349,83.8951,0.9081,17.0723,3,0
700.09,4,0.0781,93.8764,0.5611,15.7006,3,1
703.5741,3,0.0751,43.9323,0.9667,11.1302,8,1
289.3443,2,0.0927,51.0723,1.733,12.7765,7,1
216.0337,3,0.0029,58.9018,2.5327,14.9777,4,0
383.8855,2,0.0896,67.0521,3.1473,7.4721,3,1
427.3397,4,0.0393,98.7083,3.6607,5.408,7,1
613.1771,3,0.0878,75.7864,4.4506,9.7626,6,1
494.7414,1,0.0691,51.1639,4.9454,13.9338,5,1
989.5365,3,0.0987,41.1014,3.3143,12.2991,4,1
191.8403,2,0.0759,95.5701,4.2268,15.3883,4,1
287.9891,4,0.0365,30.8439,3.8902,17.2953,8,1
245.1786,1,0.0501,77.6213,1.5377,12.3266,5,0
687.7975,1,0.0376,94.0316,4.3785,7.014,5,1
327.9624,3,0.0365,73.1732,0.2138,17.7594,6,0
519.6797,3,0.0261,53.8444,0.0018,13.6249,5,0
319.983,1,0.0496,35.9193,1.3687,16.0991,2,1
243.0726,3,0.0682,49.398,2.3105,15.57,2,1
199.3376,4,0.0277,76.5497,3.1918,19.5232,8,1
690.6966,1,0.0524,71.9627,0.5089,9.4296,1,1
224.3647,1,0.0117,94.2381,3.3651,15.5796,1,1
276.9241,3,0.016,89.3489,4.0091,10.4851,6,1
431.8527,3,0.0047,85.2921,0.9266,10.9312,8,1
838.8939,2,0.0971,92.9161,2.0756,8.4589,1,1
187.3911,3,0.0004,42.107,2.5999,10.1602,6,0
854.1504,1,0.0179,49.5619,2.259,19.2245,3,1
186.4886,1,0.0613,50.3915,3.9991,9.3886,1,1
978.8135,2,0.0081,64.836,4.8026,8.6899,8,1
521.7861,2,0.0882,73.4575,3.9948,13.7471,6,1
979.085,1,0.072,42.9373,0.39,8.8705,1,1
644.361,2,0.0966,21.557,4.0247,12.1008,4,1
765.3372,1,0.0508,51.9378,0.333,17.5126,6,1
135.269,3,0.03,44.6822,1.1799,8.456,4,0
354.5263,1,0.055,95.3748,0.7655,11.4004,3,1
208.1769,2,0.0931,91.0612,0.9876,14.1573,3,1
366.5262,3,0.0521,88.8249,2.6416,13.1844,1,1
206.8549,1,0.0267,72.24,3.3584,19.6208,9,0
386.1849,1,0.0877,47.5431,2.3516,15.2056,4,1
472.8367,2,0.0372,63.9079,4.7985,16.0992,7,1
157.7327,2,0.0001,85.218,1.2015,19.5043,5,1
723.2249,4,0.0248,27.8888,3.8157,11.2166,4,1
609.9413,1,0.0318,84.086,4.3509,10.3307,5,1
338.8505,3,0.0859,23.2944,2.8103,5.6579,2,1
