Rock_Type,Formation_Type,Mineral_Content,Hardness_Scale,Area_Sq_km,Density,Porosity_Percentage,Sample_Location,Depth_m,Erosion_Rate_mm_per_yr
Igneous,Sediment,5.784515482,39.7111991,632.8853196,13.32306381,181.9165355,Basalt,228.2825662,0.964557299
Sedimentary,Volcanic,0.677462206,78.39054773,969.5823723,47.12178103,147.0967596,Basalt,37.07812604,1.274159331
Igneous,Plutonic,5.760767658,28.42327288,970.2129436,35.87428627,122.153118,Granite,208.5264128,2.272704912
Sedimentary,Sediment,4.379791291,37.27367514,935.7995794,16.59635674,8.287226347,Basalt,120.2520462,4.461518722
Sedimentary,Plutonic,7.903403526,64.8468358,962.1707755,5.310093381,182.3092604,Granite,110.6547582,0.705346433
Metamorphic,Plutonic,4.740025854,42.84821545,116.4522811,12.38982279,148.4543138,Granite,6.902262554,1.602431569
Igneous,Plutonic,1.338877744,2.521016879,857.3880573,30.86624139,33.98573242,Basalt,230.6316669,4.295075183
Metamorphic,Plutonic,9.668005975,93.45603745,921.5475478,0.39051077,117.8026978,Limestone,76.98978499,1.70938567
Igneous,Sediment,5.646472143,31.80302892,153.6665428,22.22468617,99.01926544,Granite,296.9296521,2.701584402
Igneous,Volcanic,0.423878841,30.11551989,851.8938451,32.98477491,165.3366064,Basalt,198.0872756,1.392112674
Igneous,Volcanic,7.595363091,49.292175,204.8776929,40.50019304,113.5641309,Granite,41.85155814,2.235795631
Metamorphic,Plutonic,8.048940269,95.85859104,346.1638726,14.6756126,16.35503564,Limestone,199.3473679,3.714313377
Sedimentary,Sediment,9.589616185,13.599269,485.1596313,4.911909233,6.821980742,Basalt,199.3503152,4.727567695
Metamorphic,Volcanic,8.676871753,33.75705361,875.7651744,5.852654958,47.59213638,Granite,270.4820181,3.710586736
Metamorphic,Volcanic,5.085098937,60.81923838,38.01823254,6.419495507,11.1581625,Limestone,271.500222,4.168644366
Igneous,Plutonic,1.347949639,84.96728266,351.0346994,40.02987482,73.00870949,Limestone,80.30521191,2.690152984
Sedimentary,Plutonic,0.936607012,28.07065906,471.4797167,40.87543994,90.50299095,Granite,291.4306725,2.90923359
Sedimentary,Sediment,5.416330109,2.494562981,415.3673002,34.44495537,46.85832925,Basalt,209.5889853,4.037887785
Sedimentary,Volcanic,5.036973052,2.573777558,774.3529495,28.01868519,16.49870062,Basalt,142.56421,4.644288212
Sedimentary,Plutonic,2.872928818,87.96815426,284.9270528,47.08435355,109.2265499,Granite,97.08411286,1.93578746
Igneous,Sediment,8.135450174,69.74003784,413.9624957,31.48091514,155.7168528,Limestone,255.4673383,1.188262566
Sedimentary,Sediment,8.164127137,16.60770886,828.3895525,2.931452944,40.03413631,Limestone,186.878016,4.033240185
Igneous,Sediment,1.146925254,60.33475951,307.9656914,21.47332926,63.03030069,Limestone,21.05207036,3.136046391
Igneous,Volcanic,5.007587529,96.35994444,611.7833482,15.00159358,191.2299668,Limestone,116.7711756,0.211801219
Sedimentary,Volcanic,6.975177339,63.41128049,952.910848,45.73013472,29.60081127,Granite,25.70576242,3.77387097
Metamorphic,Volcanic,8.096423278,90.49432133,492.9736039,34.53806369,13.95765604,Limestone,65.94131936,3.815903666
Igneous,Sediment,1.493761947,60.11605836,197.5398938,2.992315778,60.44145655,Granite,203.1637287,3.190010286
Metamorphic,Sediment,5.778637243,33.07249655,833.4788758,13.8134554,52.10952767,Basalt,167.9842232,3.627084481
Igneous,Plutonic,4.782156398,44.59726606,155.785619,25.23230958,51.80378346,Basalt,117.6539648,3.51795167
Sedimentary,Plutonic,7.335704477,93.68628256,773.8629652,20.28169473,118.6066279,Limestone,223.9493448,1.691004617
Sedimentary,Volcanic,4.142210501,36.02481588,135.243296,36.81304007,167.7017182,Limestone,94.97532331,1.285717478
Metamorphic,Volcanic,7.835077656,61.02130583,784.0830464,20.56686916,149.5152727,Limestone,122.5527354,1.399481487
Igneous,Plutonic,0.887579854,55.05789181,454.3287264,12.64399436,178.422667,Basalt,114.8559917,0.880967742
Sedimentary,Volcanic,0.391261114,38.21357402,424.5098079,43.08188616,159.8366416,Granite,59.98997577,1.421131427
Sedimentary,Plutonic,8.39029226,24.79272283,341.9341482,3.840922699,11.07126263,Granite,204.2580362,4.530647519
Sedimentary,Plutonic,9.233410845,49.30168542,844.093712,39.68756248,132.9357447,Granite,293.4686793,1.848268252
Igneous,Plutonic,8.021879209,27.48443942,789.0142462,34.63308231,79.90408933,Limestone,23.03924107,3.127073819
Metamorphic,Sediment,2.143595296,79.72378916,248.4852881,49.89289915,138.797628,Granite,143.1667442,1.426809548
Igneous,Volcanic,5.704366902,61.08727235,968.94482,8.087059732,54.47916053,Limestone,212.8773144,3.299544066
Metamorphic,Sediment,2.398579831,87.12971622,346.5341757,9.041969996,9.52415217,Basalt,178.6785121,3.938219794
Metamorphic,Volcanic,8.252821896,27.37931111,917.5394863,37.88671351,12.2601365,Granite,171.789899,4.481004159
